complaint_id,encounter_record_id,patient_visit_id,hospital_id,hospital_name,complaint_datetime,service_area,source,formal_complaint_flag,complaint_theme,complaint_text,sentiment,urgency,resolution_status,daily_average_wait_minutes,daily_critical_wait_share_pct,source_system,synthetic_flag
CMP0000001,EN000002,VIS00000369,KPJ_01,JCORP Specialist Hospital,2024-07-01 16:48:00,Outpatient Department,Google Review,False,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,Medium,Not Applicable,35.66,0.0,Patient Experience System,True
CMP0000002,EN000008,VIS00001282,KPJ_01,JCORP Specialist Hospital,2024-07-03 14:44:00,Outpatient Department,Formal Complaint Form,True,Billing,The billing explanation was not satisfactory.,Negative,Medium,Resolved,34.75,0.0,Patient Experience System,True
CMP0000003,EN000012,,KPJ_01,JCORP Specialist Hospital,2024-07-04 14:38:00,Inpatient Wards,Patient Portal,True,Insufficient Staff,The counter was understaffed and service was slow.,Negative,Medium,Resolved,0.0,0.0,Patient Experience System,True
CMP0000004,EN000011,,KPJ_01,JCORP Specialist Hospital,2024-07-04 19:18:00,Outpatient Department,Formal Complaint Form,True,Overcrowding,There were too many patients in the service area.,Negative,Medium,Resolved,35.27,0.0,Patient Experience System,True
CMP0000005,EN000011,VIS00001535,KPJ_01,JCORP Specialist Hospital,2024-07-04 19:13:00,Outpatient Department,Call Centre,True,Billing,There was confusion about the bill.,Neutral,Low,Open,35.27,0.0,Patient Experience System,True
CMP0000006,EN000011,VIS00001712,KPJ_01,JCORP Specialist Hospital,2024-07-04 09:48:00,Outpatient Department,Patient Portal,True,Staff Attitude,The staff member was not very helpful.,Negative,Medium,Resolved,35.27,0.0,Patient Experience System,True
CMP0000007,EN000014,,KPJ_01,JCORP Specialist Hospital,2024-07-05 17:04:00,Outpatient Department,Patient Portal,True,Overcrowding,The department felt congested and uncomfortable.,Negative,Medium,Resolved,33.68,0.0,Patient Experience System,True
CMP0000008,EN000018,,KPJ_01,JCORP Specialist Hospital,2024-07-06 13:54:00,Inpatient Wards,Call Centre,True,Overcrowding,The waiting area was overcrowded.,Negative,Medium,In Progress,0.0,0.0,Patient Experience System,True
CMP0000009,EN000019,,KPJ_01,JCORP Specialist Hospital,2024-07-07 15:34:00,Emergency Department,Facebook,False,Long Waiting Time,My appointment was delayed and no clear update was given.,Negative,Medium,Not Applicable,28.42,2.96,Patient Experience System,True
CMP0000010,EN000019,VIS00002494,KPJ_01,JCORP Specialist Hospital,2024-07-07 14:37:00,Emergency Department,Patient Portal,True,Overcrowding,The department felt congested and uncomfortable.,Negative,High,Resolved,28.42,2.96,Patient Experience System,True
CMP0000011,EN000021,,KPJ_01,JCORP Specialist Hospital,2024-07-07 17:47:00,Inpatient Wards,Google Review,False,Long Waiting Time,I arrived on time but still waited for a long period.,Negative,Medium,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000012,EN000028,VIS00003660,KPJ_01,JCORP Specialist Hospital,2024-07-10 17:03:00,Emergency Department,Formal Complaint Form,True,Long Waiting Time,The waiting time was much longer than expected. The recorded wait was about 45 minutes.,Negative,Medium,Resolved,28.84,1.49,Patient Experience System,True
CMP0000013,EN000029,VIS00003920,KPJ_01,JCORP Specialist Hospital,2024-07-10 17:45:00,Outpatient Department,Facebook,False,Long Waiting Time,The queue moved very slowly and the wait was frustrating. The recorded wait was about 36 minutes.,Negative,Medium,Not Applicable,35.86,0.0,Patient Experience System,True
CMP0000014,EN000032,,KPJ_01,JCORP Specialist Hospital,2024-07-11 13:53:00,Outpatient Department,Call Centre,True,Long Waiting Time,My appointment was delayed and no clear update was given.,Negative,High,In Progress,36.24,0.0,Patient Experience System,True
CMP0000015,EN000034,VIS00004550,KPJ_01,JCORP Specialist Hospital,2024-07-12 20:06:00,Emergency Department,Formal Complaint Form,True,Insufficient Staff,More staff were needed to manage the patient flow.,Negative,High,In Progress,29.09,1.43,Patient Experience System,True
CMP0000016,EN000034,VIS00004485,KPJ_01,JCORP Specialist Hospital,2024-07-12 16:02:00,Emergency Department,Facebook,False,Overcrowding,The department felt congested and uncomfortable.,Negative,High,Not Applicable,29.09,1.43,Patient Experience System,True
CMP0000017,EN000035,,KPJ_01,JCORP Specialist Hospital,2024-07-12 17:39:00,Outpatient Department,Call Centre,True,Poor Communication,No one updated us about the service delay.,Negative,Low,Open,35.45,0.0,Patient Experience System,True
CMP0000018,EN000040,,KPJ_01,JCORP Specialist Hospital,2024-07-14 16:46:00,Emergency Department,Facebook,False,Long Waiting Time,I arrived on time but still waited for a long period.,Negative,Medium,Not Applicable,27.91,1.79,Patient Experience System,True
CMP0000019,EN000043,,KPJ_01,JCORP Specialist Hospital,2024-07-15 20:04:00,Emergency Department,Facebook,False,Overcrowding,The waiting area was overcrowded.,Negative,Medium,Not Applicable,30.88,5.44,Patient Experience System,True
CMP0000020,EN000044,VIS00005703,KPJ_01,JCORP Specialist Hospital,2024-07-15 09:26:00,Outpatient Department,Call Centre,True,Overcrowding,The department felt congested and uncomfortable.,Negative,Medium,Resolved,35.22,0.0,Patient Experience System,True
CMP0000021,EN000046,,KPJ_01,JCORP Specialist Hospital,2024-07-16 10:53:00,Emergency Department,Patient Portal,True,Poor Communication,No one updated us about the service delay.,Negative,Medium,Resolved,28.45,4.11,Patient Experience System,True
CMP0000022,EN000047,VIS00006278,KPJ_01,JCORP Specialist Hospital,2024-07-16 13:31:00,Outpatient Department,Call Centre,True,Poor Communication,The delay was not explained clearly.,Negative,Medium,In Progress,35.25,0.0,Patient Experience System,True
CMP0000023,EN000049,VIS00006495,KPJ_01,JCORP Specialist Hospital,2024-07-17 08:50:00,Emergency Department,Patient Portal,True,Poor Communication,I did not receive enough information about what was happening.,Negative,Low,In Progress,32.16,2.07,Patient Experience System,True
CMP0000024,EN000054,,KPJ_01,JCORP Specialist Hospital,2024-07-18 17:14:00,Inpatient Wards,Formal Complaint Form,True,Poor Communication,The instructions provided were confusing.,Negative,High,Open,0.0,0.0,Patient Experience System,True
CMP0000025,EN000053,,KPJ_01,JCORP Specialist Hospital,2024-07-18 15:31:00,Outpatient Department,Call Centre,True,Insufficient Staff,The counter was understaffed and service was slow.,Negative,Medium,Resolved,35.36,0.0,Patient Experience System,True
CMP0000026,EN000053,VIS00007152,KPJ_01,JCORP Specialist Hospital,2024-07-18 17:04:00,Outpatient Department,Formal Complaint Form,True,Long Waiting Time,My appointment was delayed and no clear update was given. The recorded wait was about 35 minutes.,Negative,Medium,In Progress,35.36,0.0,Patient Experience System,True
CMP0000027,EN000055,,KPJ_01,JCORP Specialist Hospital,2024-07-19 21:08:00,Emergency Department,Facebook,False,Poor Communication,No one updated us about the service delay.,Negative,Medium,Not Applicable,28.71,2.96,Patient Experience System,True
CMP0000028,EN000056,VIS00007662,KPJ_01,JCORP Specialist Hospital,2024-07-19 12:47:00,Outpatient Department,Formal Complaint Form,True,Billing,I had difficulty understanding the charges.,Negative,Low,Resolved,35.1,0.0,Patient Experience System,True
CMP0000029,EN000060,,KPJ_01,JCORP Specialist Hospital,2024-07-20 14:22:00,Inpatient Wards,Call Centre,True,Poor Communication,The delay was not explained clearly.,Negative,Low,Resolved,0.0,0.0,Patient Experience System,True
CMP0000030,EN000066,,KPJ_01,JCORP Specialist Hospital,2024-07-22 10:52:00,Inpatient Wards,Google Review,False,Poor Communication,No one updated us about the service delay.,Negative,Low,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000031,EN000067,,KPJ_01,JCORP Specialist Hospital,2024-07-23 21:39:00,Emergency Department,Facebook,False,Long Waiting Time,I waited far too long before being attended to.,Negative,High,Not Applicable,29.53,2.01,Patient Experience System,True
CMP0000032,EN000069,,KPJ_01,JCORP Specialist Hospital,2024-07-23 14:22:00,Inpatient Wards,Facebook,False,Poor Communication,I did not receive enough information about what was happening.,Negative,High,Not Applicable,0.0,0.0,Patient Experience System,True
CMP0000033,EN000071,VIS00009529,KPJ_01,JCORP Specialist Hospital,2024-07-24 11:44:00,Outpatient Department,Call Centre,True,Long Waiting Time,I waited far too long before being attended to. The recorded wait was about 32 minutes.,Negative,Medium,Open,34.32,0.0,Patient Experience System,True
CMP0000034,EN000076,,KPJ_01,JCORP Specialist Hospital,2024-07-26 17:58:00,Emergency Department,Formal Complaint Form,True,Staff Attitude,The interaction with staff could have been more professional.,Negative,Medium,In Progress,29.65,3.5,Patient Experience System,True
CMP0000035,EN000077,VIS00010243,KPJ_01,JCORP Specialist Hospital,2024-07-26 15:17:00,Outpatient Department,Call Centre,True,Poor Communication,I did not receive enough information about what was happening.,Negative,Medium,Resolved,35.15,0.0,Patient Experience System,True
CMP0000036,EN000079,,KPJ_01,JCORP Specialist Hospital,2024-07-27 10:44:00,Emergency Department,Patient Portal,True,Overcrowding,The waiting space was very crowded.,Negative,Medium,Resolved,27.62,2.47,Patient Experience System,True
CMP0000037,EN000083,,KPJ_01,JCORP Specialist Hospital,2024-07-28 21:50:00,Outpatient Department,Patient Portal,True,Staff Attitude,The interaction with staff could have been more professional.,Negative,High,Resolved,35.31,0.0,Patient Experience System,True
CMP0000038,EN000088,VIS00011504,KPJ_01,JCORP Specialist Hospital,2024-07-30 13:03:00,Emergency Department,Formal Complaint Form,True,Long Waiting Time,I waited far too long before being attended to. The recorded wait was about 52 minutes.,Negative,Medium,Resolved,29.75,4.08,Patient Experience System,True
CMP0000039,EN000092,,KPJ_01,JCORP Specialist Hospital,2024-07-31 12:18:00,Outpatient Department,Patient Portal,True,Poor Communication,I did not receive enough information about what was happening.,Negative,Medium,Resolved,34.6,0.0,Patient Experience System,True
CMP0000040,EN000094,VIS00012473,KPJ_01,JCORP Specialist Hospital,2024-08-01 09:10:00,Emergency Department,Google Review,False,Poor Communication,No one updated us about the service delay.,Negative,Medium,Not Applicable,28.83,1.52,Patient Experience System,True
