scenario_code,scenario_name,parameter_code,parameter_name,parameter_category,baseline_value,minimum_value,maximum_value,step_value,unit,default_no_intervention_value,default_mitigation_value,affected_kpis,calculation_role,business_description,prototype_assumption,limitation,editable
STAFF_PRESSURE,Clinical Staffing Pressure,STAFF_REDUCTION_PCT,Available staffing reduction,Disruption Input,0,0,30,1,Percent (%),15,15,Staffing Level; Average Patient Waiting Time; Patient Complaint Rate; Patient Satisfaction Score,disruption driver,"Percentage of scheduled clinical staff that become unavailable due to illness, leave, or other unplanned absences beyond normal levels.",Staff reduction is applied uniformly across all departments and shift categories. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,"Does not differentiate by staff seniority, department criticality, or skill mix. A 15% reduction in consultants has a different operational impact than 15% in junior nurses.",TRUE
STAFF_PRESSURE,Clinical Staffing Pressure,ABSENTEEISM_INCREASE_PCT_POINT,Absenteeism increase,Disruption Input,0,0,10,0.5,Percentage points,4,4,Staff Absenteeism Rate; Staffing Level; Average Patient Waiting Time,disruption driver,Additional percentage-point increase in baseline absenteeism rate above the hospital's normal monthly average.,The increase is additive to the baseline absenteeism rate observed in the synthetic dataset. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,Assumes absenteeism increase is uniform across all staff categories. Does not model cascading effects where one absence triggers additional coverage gaps or overtime fatigue.,TRUE
STAFF_PRESSURE,Clinical Staffing Pressure,PATIENT_DEMAND_INCREASE_PCT,Patient demand increase,Demand Input,0,0,30,1,Percent (%),15,15,Bed Occupancy Rate; Average Patient Waiting Time; Patient Complaint Rate,demand driver,"Percentage increase in patient volume above baseline, reflecting seasonal surges, public health events, or referral spikes.",Demand increase is proportional across all service areas. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,Does not differentiate by patient acuity or service area capacity. A 15% increase in emergency admissions has a different impact than 15% in outpatient volumes.,TRUE
STAFF_PRESSURE,Clinical Staffing Pressure,TEMPORARY_STAFF_ADDED,Temporary clinical staff added,Mitigation Input,0,0,20,1,Staff,0,8,Staffing Level; Average Patient Waiting Time; Patient Satisfaction Score,mitigation lever,Number of temporary or locum clinical staff deployed to offset staffing shortfalls and restore service capacity.,Each temporary staff member contributes one full equivalent to the staffing level numerator. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,"Assumes immediate availability and full productivity of temporary staff. Does not account for onboarding time, reduced efficiency, or unfamiliarity with hospital protocols.",TRUE
STAFF_PRESSURE,Clinical Staffing Pressure,EXTENDED_SERVICE_HOURS,Additional service hours per day,Mitigation Input,0,0,6,0.5,Hours per day,0,2,Average Patient Waiting Time; Patient Complaint Rate; Patient Satisfaction Score,mitigation lever,Extra operating hours added per day to spread patient load and reduce peak-time congestion.,Extended hours reduce waiting time proportionally by increasing total service capacity. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,"Assumes patient arrivals can be redistributed evenly across extended hours. In practice, demand patterns may remain concentrated during traditional peak periods.",TRUE
STAFF_PRESSURE,Clinical Staffing Pressure,SCENARIO_DURATION_DAYS,Scenario duration,Time Input,7,1,30,1,Days,14,14,Staffing Level; Staff Absenteeism Rate; Bed Occupancy Rate; Average Patient Waiting Time; Patient Complaint Rate; Patient Satisfaction Score,duration control,"Number of consecutive days the staffing pressure scenario is simulated, affecting cumulative impact on all headline KPIs.",Effects are linear over the scenario duration with no compounding fatigue or adaptation. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,"Does not model non-linear dynamics such as staff burnout over extended periods, cumulative complaint escalation, or adaptive capacity improvements that may emerge after the first week.",TRUE
STAFF_PRESSURE,Clinical Staffing Pressure,TEMP_STAFF_COST_PER_DAY,Temporary staffing cost per staff per day,Financial Input,900,300,2000,50,MYR per staff per day,900,900,None; financial impact only,financial assumption,Daily cost per temporary clinical staff member used to estimate total mitigation expenditure during the scenario.,Cost is uniform across all temporary staff categories and does not vary with shift type or seniority. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,"Real-world temporary staffing costs vary significantly by specialty, shift premium, and agency rates. This single rate is a simplification for scenario comparison only.",TRUE
CAPACITY_DISRUPTION,Facility Capacity Disruption,CAPACITY_REDUCTION_PCT,Usable capacity reduction,Disruption Input,0,0,40,1,Percent (%),20,20,Bed Occupancy Rate; Average Patient Waiting Time; Patient Complaint Rate; Patient Satisfaction Score,disruption driver,"Percentage reduction in usable bed capacity due to infrastructure issues, maintenance closures, or infection control measures.",Capacity reduction is applied uniformly across all wards. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,Does not differentiate by ward type or patient dependency. Closing 20% of ICU beds has a fundamentally different impact than closing 20% of general medical beds.,TRUE
CAPACITY_DISRUPTION,Facility Capacity Disruption,PATIENT_DEMAND_INCREASE_PCT,Patient demand increase,Demand Input,0,0,30,1,Percent (%),10,10,Bed Occupancy Rate; Average Patient Waiting Time; Patient Complaint Rate,demand driver,"Percentage increase in patient volume above baseline, compounding the effect of reduced physical capacity.",Demand increase is proportional across all service areas and occurs concurrently with capacity reduction. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,"Does not model demand elasticity or patient self-triage behaviour. In reality, some patients may defer care or seek alternatives when capacity is visibly constrained.",TRUE
CAPACITY_DISRUPTION,Facility Capacity Disruption,SERVICE_HOURS_LOST,Service hours lost per day,Disruption Input,0,0,12,0.5,Hours per day,4,4,Average Patient Waiting Time; Patient Complaint Rate; Patient Satisfaction Score,disruption driver,"Number of daily service hours lost due to facility closures, equipment failure, or utility disruptions.",Lost hours reduce effective service capacity proportionally. Thresholds are illustrative prototype values calibrated to the synthetic dataset and are not validated hospital standards.,Assumes lost hours are evenly distributed across the day. Concentrated losses during peak periods would have a more severe impact than the same total spread across low-demand periods.,TRUE
